state,program,version,n,effect,se,low,high,p,p_signflip,same_sign,contrast,min_cells,q
OSM neutrophil,Type_I_interferon,full_gene,4,-0.0428745848221741,0.00857924943826794,-0.0701775854990973,-0.015571584145251,0.0154137648068402,0.125,4,alpha_interaction,10,0.0308275296136804
OSM neutrophil,Type_I_interferon,identity_markers_removed,4,-0.0517231278665732,0.0094979874916476,-0.081949963066998,-0.0214962926661484,0.0121605005134419,0.125,4,alpha_interaction,10,0.0226996009584249
OSM neutrophil,Immature_granulopoiesis,full_gene,4,0.0402866306428817,0.0143314978584623,-0.00532259176596283,0.0858958530517263,0.0672339997855666,0.125,4,alpha_interaction,10,0.104586221888659
OSM neutrophil,Immature_granulopoiesis,identity_markers_removed,4,0.0402866306428817,0.0143314978584623,-0.00532259176596283,0.0858958530517263,0.0672339997855666,0.125,4,alpha_interaction,10,0.099651180266055
OSM neutrophil,Survival_antiapoptosis,full_gene,4,-0.374994804123415,0.0286834772727331,-0.466278430392714,-0.283711177854117,0.00096653545215092,0.125,4,alpha_interaction,10,0.00386614180860368
OSM neutrophil,Survival_antiapoptosis,identity_markers_removed,4,-0.374994804123415,0.0286834772727331,-0.466278430392714,-0.283711177854117,0.00096653545215092,0.125,4,alpha_interaction,10,0.00386614180860368
OSM neutrophil,Hypoxia_glycolysis,full_gene,4,-0.173247171994557,0.0251206176432528,-0.253192188799771,-0.0933021551893419,0.00624642177850599,0.125,4,alpha_interaction,10,0.0194333121997964
OSM neutrophil,Hypoxia_glycolysis,identity_markers_removed,4,-0.173247171994557,0.0251206176432528,-0.253192188799771,-0.0933021551893419,0.00624642177850599,0.125,4,alpha_interaction,10,0.0174899809798168
OSM neutrophil,ER_stress,full_gene,4,-0.446788061618514,0.0284179726059766,-0.537226733542058,-0.35634938969497,0.000559314542878147,0.125,4,alpha_interaction,10,0.00272581150136071
OSM neutrophil,ER_stress,identity_markers_removed,4,-0.446788061618514,0.0284179726059766,-0.537226733542058,-0.35634938969497,0.000559314542878147,0.125,4,alpha_interaction,10,0.00282727309536247
