p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
5.00492078693513e-168,1.27992090080306,0.319,0.029,1.71518635368267e-164,2,STEAP4
2.42500260706904e-165,1.1137809715346,0.347,0.043,8.3104839344256e-162,2,TKT
3.56113807676131e-162,0.832646750458457,0.387,0.055,1.2204020189061e-158,2,SLC11A1
1.62978843974471e-160,1.10827106114693,0.396,0.058,5.58528498300511e-157,2,EGR1
5.30214892829207e-157,1.43046068581469,0.299,0.03,1.81704643772569e-153,2,GAPT
2.9219160655423e-148,1.20023228221797,0.34,0.045,1.00134063566134e-144,2,IL1RN
1.63881585590845e-145,0.986241999758866,0.302,0.035,5.61622193819827e-142,2,TXN
3.67353808154395e-145,1.47153062185666,0.276,0.023,1.25892150054511e-141,2,FCGR3A
9.05908254930953e-142,1.32229408233263,0.565,0.171,3.10454758964837e-138,2,CCL3L3
4.619181626797e-141,0.822137610204837,0.421,0.092,1.58299354350333e-137,2,TXNIP
1.55589633299445e-137,1.67862531316582,0.271,0.033,5.33205673317199e-134,2,SOCS3
8.54113535637019e-137,0.352011571416138,0.337,0.05,2.92704708662807e-133,2,CIR1
1.71753950662196e-136,1.13054684389363,0.281,0.031,5.88600788919344e-133,2,TMX4
2.40034492034521e-136,0.62726068069411,0.303,0.041,8.22598204202304e-133,2,MX2
2.42971898365518e-131,1.22932020526377,0.484,0.135,8.32664695698631e-128,2,CCL4L2
3.94946926529468e-127,0.476966950419986,0.317,0.052,1.35348311721649e-123,2,SET
5.08738637827468e-126,1.02872752960619,0.245,0.023,1.74344731183473e-122,2,SUCNR1
1.34739670405154e-123,0.520330906443419,0.311,0.05,4.61752850478463e-120,2,HMOX1
2.86095785015802e-123,1.46194327336581,0.24,0.024,9.80450255249152e-120,2,HSPA1A
4.07049921535214e-122,0.79640471760886,0.289,0.044,1.39496008110118e-118,2,SERPINB1
1.07990568809015e-119,1.66136277407743,0.259,0.026,3.70083679308494e-116,2,MID1IP1
2.78275243287816e-116,0.492080130733723,0.264,0.035,9.53649258747344e-113,2,TIMP2
3.52681244350346e-115,1.0611736472814,0.233,0.023,1.20863862438864e-111,2,C5AR2
1.30154912626642e-111,0.234055397447556,0.418,0.099,4.46040885571503e-108,2,TNFAIP6
2.8148512693605e-110,0.942876103904881,0.237,0.03,9.64649530009844e-107,2,CKAP4
1.76063565688725e-109,0.94595504165666,0.404,0.088,6.03369839615259e-106,2,IL1B
4.55763404211985e-107,0.958683374270571,0.236,0.034,1.56190118623447e-103,2,PLP2
4.18984651195371e-106,0.773036732722829,0.242,0.037,1.43586039964654e-102,2,RAB31
6.92563602915928e-106,0.623393462047522,0.297,0.058,2.37341546719288e-102,2,LGALS3
7.21651650964993e-105,0.992969735999316,0.23,0.029,2.47310020785703e-101,2,GLIPR1
7.62619719898498e-103,0.766558933436683,0.242,0.032,2.61349778009215e-99,2,PROK2
4.33538721663318e-101,0.376749474895762,0.254,0.042,1.48573719914019e-97,2,EIF4G2
1.78420076539565e-100,0.357263985855211,0.34,0.079,6.11445602301089e-97,2,VIM
1.52728770991118e-95,0.565078669558937,0.208,0.028,5.2340149818656e-92,2,DYSF
7.72270216883175e-94,0.304552430776884,0.262,0.044,2.64657003325864e-90,2,ANXA5
