sample,group,subset,kind,events,denominator_events,value
WD6,WD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,0,885,0.0
WD6,WD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,885,0.0
WD6,WD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,4,885,0.4519774011299435
WD6,WD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,5,885,0.5649717514124294
WD6,WD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,885,0.0
WD6,WD,FMO: OSM+ & MX1+,fixed FMO coexpression,2,885,0.22598870056497175
WD6,WD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,1,885,0.11299435028248588
WD6,WD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,885,0.0
WD6,WD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,885,0.0
WD6,WD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,6,885,0.6779661016949152
