sample,group,subset,events,immediate_parent_events,percent_immediate_parent
FD5,FD,Saved: padi4+/cd177 hi,0,89,0.0
FD6,FD,Saved: cd177+ all neutrophil,47,956,4.916317991631799
FD6,FD,Saved: cd177+ all neutrophil/cxcr4+,11,47,23.404255319148938
FD6,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,2,11,18.181818181818183
FD6,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,2,47,4.25531914893617
FD6,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,2,47,4.25531914893617
FD6,FD,Saved: cd177+ all neutrophil/padi4+,23,47,48.93617021276596
FD6,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,3,47,6.382978723404255
FD6,FD,Saved: cd177- all neutrophils,869,956,90.89958158995816
FD6,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,506,869,58.22784810126582
FD6,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,244,869,28.07825086306099
FD6,FD,Saved: cd177- all neutrophils/cxcr4- osm+,84,869,9.666283084004602
FD6,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,303,869,34.86766398158803
FD6,FD,Saved: cd177- all neutrophils/mx1+ osm+,470,869,54.085155350978134
FD6,FD,Saved: cd177- all neutrophils/osm+ padi4+,121,869,13.924050632911392
FD6,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,221,869,25.431530494821633
FD6,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,57,869,6.5592635212888375
FD6,FD,Saved: cd177- all neutrophils/padi4+ mx1+,87,869,10.01150747986191
FD6,FD,Saved: cxcr4+,548,956,57.32217573221757
FD6,FD,Saved: cxcr4+/cd177 hi,10,548,1.8248175182481752
FD6,FD,"Saved: cxcr4+/mx1, osm+",292,548,53.284671532846716
FD6,FD,"Saved: cxcr4+/mx1, padi4+",61,548,11.13138686131387
FD6,FD,"Saved: cxcr4+/padi4, osm+",66,548,12.043795620437956
FD6,FD,Saved: cxcr4+/padi4- or osm-,434,548,79.1970802919708
FD6,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,173,434,39.86175115207373
FD6,FD,Saved: cxcr4-,261,956,27.301255230125523
FD6,FD,Saved: cxcr4-/cd177 hi,36,261,13.793103448275861
FD6,FD,Saved: mx1+,166,956,17.364016736401673
FD6,FD,Saved: mx1+/cd177 hi,0,166,0.0
FD6,FD,Saved: osm+,619,956,64.7489539748954
FD6,FD,Saved: osm+/cd177 hi,4,619,0.6462035541195477
FD6,FD,Saved: padi4+,61,956,6.380753138075314
FD6,FD,Saved: padi4+/cd177 hi,1,61,1.639344262295082
WD1,WD,Saved: cd177+ all neutrophil,18,127,14.173228346456693
WD1,WD,Saved: cd177+ all neutrophil/cxcr4+,5,18,27.77777777777778
WD1,WD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,3,5,60.0
WD1,WD,Saved: cd177+ all neutrophil/cxcr4- osm+,0,18,0.0
WD1,WD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,0,18,0.0
WD1,WD,Saved: cd177+ all neutrophil/padi4+,6,18,33.333333333333336
WD1,WD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,2,18,11.11111111111111
WD1,WD,Saved: cd177- all neutrophils,104,127,81.88976377952756
WD1,WD,Saved: cd177- all neutrophils/cxcr4+ osm+,21,104,20.192307692307693
WD1,WD,Saved: cd177- all neutrophils/cxcr4- mx1+,8,104,7.6923076923076925
WD1,WD,Saved: cd177- all neutrophils/cxcr4- osm+,8,104,7.6923076923076925
WD1,WD,Saved: cd177- all neutrophils/mx1+ cxcr4+,20,104,19.23076923076923
WD1,WD,Saved: cd177- all neutrophils/mx1+ osm+,8,104,7.6923076923076925
WD1,WD,Saved: cd177- all neutrophils/osm+ padi4+,7,104,6.730769230769231
WD1,WD,Saved: cd177- all neutrophils/padi4+ cxcr4+,27,104,25.96153846153846
WD1,WD,Saved: cd177- all neutrophils/padi4+ cxcr4-,11,104,10.576923076923077
WD1,WD,Saved: cd177- all neutrophils/padi4+ mx1+,1,104,0.9615384615384616
WD1,WD,Saved: cxcr4+,62,127,48.818897637795274
WD1,WD,Saved: cxcr4+/cd177 hi,5,62,8.064516129032258
WD1,WD,"Saved: cxcr4+/mx1, osm+",4,62,6.451612903225806
WD1,WD,"Saved: cxcr4+/mx1, padi4+",3,62,4.838709677419355
WD1,WD,"Saved: cxcr4+/padi4, osm+",4,62,6.451612903225806
WD1,WD,Saved: cxcr4+/padi4- or osm-,54,62,87.09677419354838
WD1,WD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,46,54,85.18518518518519
WD1,WD,Saved: cxcr4-,54,127,42.51968503937008
