subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/padi4+ cxcr4+,CD177,saved gate,Exploratory subset MFI,6,5,-10337.772651083113,-9992.044002291257,-11710.301679956261,-9096.851744167754,-10053.552236577367,-8393.642688869211,tested,0.9307359307359307,0.06666666666666665,345.72864879185545,651.067850651225,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4+,CD11b,saved gate,Exploratory subset MFI,6,5,12149.548315754972,11205.530375866407,7837.202844635067,14315.207608222567,7812.087616320893,11239.083960803706,tested,0.7922077922077922,-0.1333333333333333,-944.0179398885648,-1691.8961676224862,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4+,CD45,saved gate,Exploratory subset MFI,6,5,29332.298613494546,19537.08418720243,23645.340799184512,33171.96570999319,19312.629169917152,20679.960596248016,tested,0.08225108225108226,-0.6666666666666667,-9795.214426292117,-8915.32681718923,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/padi4+ cxcr4+,Ly6G,saved gate,Exploratory subset MFI,6,5,9833.445928133213,17051.573979224715,8256.990636973966,14919.5018141502,15501.778847264926,22153.109501782266,tested,0.08225108225108226,0.6666666666666667,7218.128051091502,7548.474226439643,0.7622139764996907,170.0,0.8055555555555556
Saved: cd177- all neutrophils/padi4+ cxcr4+,F4/80,saved gate,Exploratory subset MFI,6,5,4897.0524171278885,4534.2338413946545,3337.1003759582572,5375.27836384108,3602.6935465604884,7617.86250237467,tested,0.9307359307359307,0.06666666666666665,-362.81857573323396,754.6888677621153,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4-,OSM,saved gate,Exploratory subset MFI,3,4,-12841.871288231061,-12968.441827410606,-49769.85226954312,-12505.421651630411,-15901.265227753556,-9839.055450786664,tested,0.6285714285714286,0.33333333333333326,-126.57053917954545,3426.219524100178,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4-,CXCR4,saved gate,Exploratory subset MFI,3,4,317.1443158598013,192.3566824178563,-1324.169078883714,331.09612622315586,183.6077919965655,260.7481670301308,tested,1.0,0.0,-124.78763344194499,-4.082353248484921,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4-,MX1,saved gate,Exploratory subset MFI,3,4,-2016.0764790200822,-2449.480510817938,-12504.982033887267,-1772.251060301898,-3056.0263086463165,-1805.0630598139965,tested,1.0,0.0,-433.40403179785585,304.3916608919018,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4-,PADI4,saved gate,Exploratory subset MFI,3,4,3382.5802175810177,3551.899897972989,3208.9788251488517,3711.7179760417084,3250.4600979077522,4232.679840566558,tested,0.8571428571428571,0.16666666666666674,169.31968039197136,177.45176644902244,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4-,NAMPT,saved gate,Exploratory subset MFI,3,4,-356.41378996253576,-185.94358637718256,-505.116623177271,-156.91159045001035,-374.9411759194386,17.2773222595726,tested,0.8571428571428571,0.16666666666666674,170.4702035853532,148.11747547656122,1.0,170.0,1.0
