gene,logFC,logCPM,F,PValue,FDR,population,contrast,n_donors,tested_genes
HMGXB4,-1.84450066095022,4.13548052452717,3.71213518564439,0.0549087676089846,0.210273905347842,Resolved,alpha_interaction,4,16812
HMMR,-0.566885638385321,2.1789214607334,0.132644955492351,0.715946936982547,0.843077876178581,Resolved,alpha_interaction,4,16812
HMOX1,-1.86088103352842,9.46534361293837,63.0809518998048,3.52721622303412e-14,1.16273645375784e-11,Resolved,alpha_interaction,4,16812
HMOX2,-0.552633433486546,3.53011472378911,0.344888455116895,0.557435816407649,0.741495601732825,Resolved,alpha_interaction,4,16812
HNF1A-AS1,2.37421126349853,1.84248778432062,2.54797416710185,0.111426709415139,0.3240452929748,Resolved,alpha_interaction,4,16812
HNF4A,0.86306765083227,1.64176370048481,0.230457559046009,0.631517564536149,0.790843448415771,Resolved,alpha_interaction,4,16812
HNF4G,-5.47890569061665,2.06345433331854,1.70904206161253,0.192065889863039,0.436316560114545,Resolved,alpha_interaction,4,16812
HNRNPA0,-1.31635102329052,6.35645757829501,12.7179153297325,0.000418268823420672,0.00518962026520172,Resolved,alpha_interaction,4,16812
HNRNPA1,-0.18810964072174,4.85560024532096,0.123734737437036,0.725252603878133,0.848618233323995,Resolved,alpha_interaction,4,16812
HNRNPA1L3,1.20772334317651,2.36584644869346,1.1621459063625,0.281831631069133,0.529493970457101,Resolved,alpha_interaction,4,16812
HNRNPA2B1,-1.23739504192159,8.4589105645816,23.5169192983081,1.94782749694298e-06,5.35079671219043e-05,Resolved,alpha_interaction,4,16812
HNRNPA3,-1.70715621029896,7.96335094764677,32.6778813958188,2.52144761348255e-08,1.22871238486576e-06,Resolved,alpha_interaction,4,16812
HNRNPAB,-0.0691251474235754,4.13940632115552,0.0154495557812296,0.901159641731714,0.952393297545002,Resolved,alpha_interaction,4,16812
HNRNPC,-1.60082427777093,9.49006028357111,42.1514841484763,3.27830850164782e-10,2.75574612648516e-08,Resolved,alpha_interaction,4,16812
HNRNPD,-1.40427792394133,6.53478978585973,15.3214952827651,0.000111123905552148,0.00173949264445318,Resolved,alpha_interaction,4,16812
