program,population,version,DonorID,delta,contrast,min_cells
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,Donor4,0.26226822086047,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,Donor5,-0.023895973636113,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,full_gene,Donor6,0.390835505060299,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,Donor1,0.176797268344583,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,Donor2,0.0679847232766478,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,Donor3,0.386908983157326,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,Donor4,0.26226822086047,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,Donor5,-0.023895973636113,alpha_interaction,0
Immature_granulopoiesis,Resolved; >=100 genes,identity_markers_removed,Donor6,0.390835505060299,alpha_interaction,0
Survival_antiapoptosis,All annotated,full_gene,Donor1,-0.105412239425905,alpha_interaction,0
Survival_antiapoptosis,All annotated,full_gene,Donor2,-0.0564431690654886,alpha_interaction,0
Survival_antiapoptosis,All annotated,full_gene,Donor3,-0.258286048168661,alpha_interaction,0
Survival_antiapoptosis,All annotated,full_gene,Donor4,-0.377496860406566,alpha_interaction,0
Survival_antiapoptosis,All annotated,full_gene,Donor5,-0.120684271176238,alpha_interaction,0
Survival_antiapoptosis,All annotated,full_gene,Donor6,-0.41452357741966,alpha_interaction,0
Survival_antiapoptosis,All annotated,identity_markers_removed,Donor1,-0.105412239425905,alpha_interaction,0
Survival_antiapoptosis,All annotated,identity_markers_removed,Donor2,-0.0564431690654886,alpha_interaction,0
Survival_antiapoptosis,All annotated,identity_markers_removed,Donor3,-0.258286048168661,alpha_interaction,0
