barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
D_56321136,Donor6,UA5,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56322047,Donor5,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56323647,Donor5,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56324740,Donor4,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56326262,Donor4,UA5,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
D_56327528,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56327543,Donor6,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56328284,Donor4,UD,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
D_56332531,Donor3,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56333013,Donor4,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56334828,Donor4,UD,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56335475,Donor2,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56336527,Donor4,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56340566,Donor4,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56343565,Donor2,UA5,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56344136,Donor3,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56344696,Donor4,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56349392,Donor1,UA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56350404,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56351305,Donor3,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56351896,Donor2,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56352841,Donor3,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56359317,Donor2,UD,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56360224,Donor2,UD,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56361036,Donor4,UD,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56361868,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56362859,Donor3,UA5,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
D_56363602,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56366327,Donor4,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56366698,Donor6,UA5,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56368006,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56369829,Donor2,UA5,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56371522,Donor1,UA5,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56373431,Donor2,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
D_56375382,Donor4,UA5,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
D_56375421,Donor5,UD,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
