program,version,min_state_cells,component,n,effect,se,low,high,p,p_signflip,same_sign,q
Integrin_adhesion,full_gene,10,total,5,-0.0433044843743459,0.0356018588543942,-0.142151091126571,0.0555421223778795,0.290715869472285,0.3125,3,0.452224685845777
CXCR4_aging_retention,full_gene,10,total,5,-0.179564489788622,0.042719149331902,-0.298171862849395,-0.0609571167278488,0.0136587177783781,0.0625,5,0.101658264615574
NETosis,identity_markers_removed,1,total,5,0.0233117450437006,0.0209649342222419,-0.0348962439584367,0.0815197340458379,0.328487701944899,0.375,3,0.459882782722859
Degranulation,identity_markers_removed,1,total,5,0.0626996053451998,0.00117250920744077,0.0594441978954016,0.0659550127949981,7.32057584635984e-07,0.0625,5,1.02488061849038e-05
Oxidative_burst,identity_markers_removed,1,total,5,-0.0473573581127812,0.0521939715265993,-0.192271054878641,0.0975563386530785,0.415548594081919,0.375,3,0.528880028831533
Phagocytosis,identity_markers_removed,1,total,5,-0.100094326623615,0.0500840916170753,-0.239150057642121,0.0389614043948917,0.1163122169165,0.1875,4,0.232624433833
Chemotaxis,identity_markers_removed,1,total,5,-0.123443288157411,0.0385500319882991,-0.230475335776543,-0.0164112405382798,0.0328332125200768,0.0625,5,0.10740718834951
OSM_inflammation,identity_markers_removed,1,total,5,-0.0657413183997915,0.0258570206272072,-0.137531916755199,0.00604927995561631,0.0638116757079782,0.0625,5,0.148893909985283
Type_I_interferon,identity_markers_removed,1,total,5,0.00815024778878629,0.0163301831652889,-0.0371896093274635,0.0534901049050361,0.643915978307058,0.6875,4,0.69344797663837
Immature_granulopoiesis,identity_markers_removed,1,total,5,0.0964678839963536,0.013499554745836,0.0589871112999277,0.13394865669278,0.00202873439568104,0.0625,5,0.0142011407697673
Survival_antiapoptosis,identity_markers_removed,1,total,5,-0.05393893292302,0.029454679128276,-0.135718232613894,0.0278403667678535,0.141022522602491,0.25,3,0.246789414554359
Hypoxia_glycolysis,identity_markers_removed,1,total,5,0.0113307501918699,0.0296083612637299,-0.0708752395117409,0.0935367398954807,0.721417378692548,0.75,2,0.721417378692548
ER_stress,identity_markers_removed,1,total,5,-0.106630203772457,0.0350626779796464,-0.203979804424173,-0.0092806031207415,0.0383597101248249,0.0625,5,0.10740718834951
Proliferation_stress,identity_markers_removed,1,total,5,0.0114057448149645,0.0216182723668388,-0.0486162016807777,0.0714276913107067,0.625688670151008,0.625,4,0.69344797663837
Integrin_adhesion,identity_markers_removed,1,total,5,-0.0445929602345344,0.036136401014591,-0.14492369395096,0.0557377734818915,0.284743258905425,0.3125,3,0.442933958297328
CXCR4_aging_retention,identity_markers_removed,1,total,5,-0.168166820656505,0.0409031753468026,-0.281732241635183,-0.0546013996778284,0.0147160510278355,0.0625,5,0.0686749047965657
NETosis,identity_markers_removed,10,total,5,0.0145354941931236,0.0255067304517385,-0.0562825427192053,0.0853535311054524,0.599246974891213,0.6875,3,0.762677968043362
Degranulation,identity_markers_removed,10,total,5,0.0484051957102005,0.0145263677683555,0.00807353302344698,0.0887368583969541,0.0290452184615927,0.125,4,0.108299500745034
Oxidative_burst,identity_markers_removed,10,total,5,-0.049037176275313,0.0528780041580997,-0.195850052092697,0.0977756995420715,0.406227906565656,0.375,3,0.568719069191918
Phagocytosis,identity_markers_removed,10,total,5,-0.100607374963324,0.0503060626274762,-0.240279396307154,0.0390646463805063,0.116129043733662,0.1875,4,0.232258087467324
Chemotaxis,identity_markers_removed,10,total,5,-0.124975434777755,0.0388737347629704,-0.232906225381161,-0.0170446441743484,0.032437159178868,0.0625,5,0.108299500745034
OSM_inflammation,identity_markers_removed,10,total,5,-0.0642672880244878,0.0262313815759626,-0.137097279003645,0.0085627029546691,0.0704441174843313,0.0625,5,0.16436960746344
Type_I_interferon,identity_markers_removed,10,total,5,-0.000744042715385549,0.0158178396324808,-0.0446614061377905,0.0431733207070194,0.964737601961788,0.9375,2,0.964737601961788
Immature_granulopoiesis,identity_markers_removed,10,total,5,0.0790453536258363,0.0194860854406311,0.0249433070847301,0.133147400166942,0.0153929903039063,0.0625,5,0.107750932127344
Survival_antiapoptosis,identity_markers_removed,10,total,5,-0.0522809294129019,0.0286211779420352,-0.13174605881506,0.0271841999892567,0.141777555683062,0.25,3,0.248110722445359
Hypoxia_glycolysis,identity_markers_removed,10,total,5,0.00934514230564265,0.0299457421876283,-0.0737975670127131,0.0924878516239984,0.770578504208776,0.75,2,0.829853773763297
ER_stress,identity_markers_removed,10,total,5,-0.107853859459832,0.0355637719684283,-0.206594720063946,-0.00911299885571914,0.0386783931232266,0.0625,5,0.108299500745034
Proliferation_stress,identity_markers_removed,10,total,5,0.00790519781776247,0.0207529053204205,-0.0497141045777524,0.0655245002132773,0.722629502217322,0.75,4,0.829853773763297
Integrin_adhesion,identity_markers_removed,10,total,5,-0.0433044843743459,0.0356018588543942,-0.142151091126571,0.0555421223778795,0.290715869472285,0.3125,3,0.452224685845777
CXCR4_aging_retention,identity_markers_removed,10,total,5,-0.169915612160577,0.0415328522707262,-0.285229296552538,-0.0546019277686166,0.0149614736418203,0.0625,5,0.107750932127344
NETosis,full_gene,1,composition,5,0.0182050447148916,0.00457160629825123,0.00551223078522053,0.0308978586445626,0.0163710595572846,0.0625,5,0.13567544010482
