DonorID,ConditionCode,program,value,cells,population,version
Donor6,CF,OSM_inflammation,-0.0260084144856566,1249,Resolved,full_gene
Donor1,CF,OSM_inflammation,-0.009287823449655,1253,Resolved,full_gene
Donor4,NA5,OSM_inflammation,0.21757878374209,1580,Resolved,full_gene
Donor1,NA5,OSM_inflammation,0.0641110095553929,71,Resolved,full_gene
Donor5,CF,OSM_inflammation,0.298094046311553,11,Resolved,full_gene
Donor2,CF,OSM_inflammation,-0.125138741225293,22,Resolved,full_gene
Donor6,NA5,OSM_inflammation,0.483737444586558,1,Resolved,full_gene
Donor1,N,Type_I_interferon,-0.0286398818895337,55,Resolved,full_gene
Donor6,N,Type_I_interferon,-0.0540669450385088,801,Resolved,full_gene
Donor5,NNAMPT,Type_I_interferon,-0.0578497556596901,41,Resolved,full_gene
Donor2,NNAMPT,Type_I_interferon,-0.065008187015609,215,Resolved,full_gene
Donor1,NNAMPT,Type_I_interferon,-0.0739989756328747,63,Resolved,full_gene
Donor4,NNAMPT,Type_I_interferon,-0.0199210535303798,233,Resolved,full_gene
Donor4,N,Type_I_interferon,-0.0163271170009723,234,Resolved,full_gene
Donor5,N,Type_I_interferon,-0.0509388729355729,61,Resolved,full_gene
Donor3,N,Type_I_interferon,0.0154414491615864,102,Resolved,full_gene
Donor3,NNAMPT,Type_I_interferon,0.0462388082649806,42,Resolved,full_gene
Donor2,N,Type_I_interferon,-0.0810478232712912,47,Resolved,full_gene
Donor6,NNAMPT,Type_I_interferon,-0.0971180475145722,13,Resolved,full_gene
Donor4,UF,Type_I_interferon,0.00653428435536305,3393,Resolved,full_gene
Donor4,UN,Type_I_interferon,0.0217926590373506,1239,Resolved,full_gene
Donor3,UN,Type_I_interferon,0.0481874288004488,2554,Resolved,full_gene
Donor2,UF,Type_I_interferon,0.00636231372567596,720,Resolved,full_gene
Donor3,UF,Type_I_interferon,0.0442128938267911,2349,Resolved,full_gene
Donor2,UN,Type_I_interferon,0.0235384072404095,461,Resolved,full_gene
Donor6,UF,Type_I_interferon,0.0251347603593488,369,Resolved,full_gene
Donor1,UF,Type_I_interferon,-0.00620472419652301,140,Resolved,full_gene
Donor5,UF,Type_I_interferon,-0.0711451208906215,28,Resolved,full_gene
Donor1,UN,Type_I_interferon,0.113722135540138,87,Resolved,full_gene
Donor6,UN,Type_I_interferon,0.00923229566429487,54,Resolved,full_gene
Donor5,UN,Type_I_interferon,-0.0785290084778205,26,Resolved,full_gene
Donor4,UD,Type_I_interferon,0.0513051944826735,1847,Resolved,full_gene
Donor4,UA5,Type_I_interferon,0.0455801143916797,1576,Resolved,full_gene
Donor5,UD,Type_I_interferon,0.0055669621803193,1184,Resolved,full_gene
Donor2,UD,Type_I_interferon,-0.021600245165125,946,Resolved,full_gene
Donor3,UA5,Type_I_interferon,0.0555317185909109,2053,Resolved,full_gene
Donor1,UA5,Type_I_interferon,0.0079755092272044,1402,Resolved,full_gene
Donor2,UA5,Type_I_interferon,0.0221296385614928,944,Resolved,full_gene
Donor6,UD,Type_I_interferon,-0.019586765400676,481,Resolved,full_gene
Donor3,UD,Type_I_interferon,0.0556586827339664,1516,Resolved,full_gene
Donor6,UA5,Type_I_interferon,-0.0247970955100093,510,Resolved,full_gene
Donor1,UD,Type_I_interferon,0.0298634073752987,200,Resolved,full_gene
Donor5,UA5,Type_I_interferon,-0.00989938614101299,4,Resolved,full_gene
Donor4,CF,Type_I_interferon,0.0483630966929451,2848,Resolved,full_gene
Donor3,NA5,Type_I_interferon,0.0570362512616536,3913,Resolved,full_gene
Donor2,NA5,Type_I_interferon,0.00556856686136229,1148,Resolved,full_gene
Donor5,NA5,Type_I_interferon,0.0166820005318147,2536,Resolved,full_gene
Donor3,CF,Type_I_interferon,0.0420354329544177,3355,Resolved,full_gene
Donor6,CF,Type_I_interferon,0.0373394915658356,1249,Resolved,full_gene
Donor1,CF,Type_I_interferon,0.0179538002724954,1253,Resolved,full_gene
Donor4,NA5,Type_I_interferon,0.0688299759713091,1580,Resolved,full_gene
Donor1,NA5,Type_I_interferon,-0.0036198846183316,71,Resolved,full_gene
Donor5,CF,Type_I_interferon,0.0632246203762823,11,Resolved,full_gene
