DonorID,program,version,composition,activity,total,retained_0,retained_1,n_states,n0,n1,min_state_cells
Donor6,Immature_granulopoiesis,identity_markers_removed,0.0544996289871454,0.0807732115237299,0.135272840510875,1,1,4,369,510,10
Donor6,Survival_antiapoptosis,identity_markers_removed,-0.0110619474493182,-0.0768817191018311,-0.0879436665511494,1,1,4,369,510,10
Donor6,Hypoxia_glycolysis,identity_markers_removed,0.00202597073774718,-0.0641268787200701,-0.0621009079823229,1,1,4,369,510,10
Donor6,ER_stress,identity_markers_removed,-0.00401658408215816,-0.150214856680507,-0.154231440762665,1,1,4,369,510,10
Donor6,Proliferation_stress,identity_markers_removed,0.0356678407356819,-0.10839491810302,-0.0727270773673384,1,1,4,369,510,10
Donor6,Integrin_adhesion,identity_markers_removed,0.00253533018002481,-0.121584597280565,-0.11904926710054,1,1,4,369,510,10
Donor6,CXCR4_aging_retention,identity_markers_removed,0.0286325740203584,-0.277965312813091,-0.249332738792733,1,1,4,369,510,10
Donor5,NETosis,identity_markers_removed,0.00792417864236691,-0.11812251897689,-0.110198340334523,1,0.75,2,28,4,1
Donor5,Degranulation,identity_markers_removed,0.00314695833041372,-0.209529579742531,-0.206382621412117,1,0.75,2,28,4,1
Donor5,Oxidative_burst,identity_markers_removed,0.0121788459270485,-0.1421466222888,-0.129967776361752,1,0.75,2,28,4,1
Donor5,Phagocytosis,identity_markers_removed,0.00229644877452494,-0.387305321453915,-0.38500887267939,1,0.75,2,28,4,1
Donor5,Chemotaxis,identity_markers_removed,-0.000924143526193335,-0.492779856011567,-0.49370399953776,1,0.75,2,28,4,1
Donor5,OSM_inflammation,identity_markers_removed,-0.00765991949679094,-0.239167731520633,-0.246827651017424,1,0.75,2,28,4,1
Donor5,Type_I_interferon,identity_markers_removed,0.000524705588362649,-0.0288588073599452,-0.0283341017715825,1,0.75,2,28,4,1
Donor5,Immature_granulopoiesis,identity_markers_removed,0.000794207231609471,-0.0779357923736367,-0.0771415851420273,1,0.75,2,28,4,1
Donor5,Survival_antiapoptosis,identity_markers_removed,0.00994552882110498,-0.0929303452630959,-0.082984816441991,1,0.75,2,28,4,1
Donor5,Hypoxia_glycolysis,identity_markers_removed,0.00152472339931223,-0.25976046728095,-0.258235743881637,1,0.75,2,28,4,1
Donor5,ER_stress,identity_markers_removed,-0.000818613167162933,0.0706440584555227,0.0698254452883598,1,0.75,2,28,4,1
Donor5,Proliferation_stress,identity_markers_removed,0.0067056667567832,-0.0231398163111893,-0.0164341495544061,1,0.75,2,28,4,1
Donor5,Integrin_adhesion,identity_markers_removed,0.0059381123381142,-0.285462099107273,-0.279523986769159,1,0.75,2,28,4,1
Donor5,CXCR4_aging_retention,identity_markers_removed,0.0175456789164489,-0.662076188766982,-0.644530509850533,1,0.75,2,28,4,1
Donor2,NETosis,identity_markers_removed,0.0237580258303081,0.00700154285384784,0.0307595686841559,1,1,4,720,944,1
Donor2,Degranulation,identity_markers_removed,0.0478670197155274,0.0121521427068894,0.0600191624224168,1,1,4,720,944,1
Donor2,Oxidative_burst,identity_markers_removed,0.00414281139923941,-0.108700713825587,-0.104557902426347,1,1,4,720,944,1
